"bin","quantile","q_obs","pred_median","pred_lower","pred_upper","bin_center","output_name","model"
1,0.05,3.64596868200122,3.81686436210473,3.76366873057445,3.8766770019738,0.75,"C15","R (nlmixr2 SAEM)"
2,0.05,2.60932903845275,2.70918432995894,2.61493421798878,2.79769912871605,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.05,2.16053536601268,2.09533958482174,1.96656832828718,2.20270258093095,12.25,"C15","R (nlmixr2 SAEM)"
6,0.05,1.0623568955493,0.93244571673369,0.793199730589086,1.06266976513996,24.2,"C15","R (nlmixr2 SAEM)"
8,0.05,0.952723047899457,0.0866397849298471,-0.239117300979583,0.34975859971892,36.167,"C15","R (nlmixr2 SAEM)"
10,0.05,0.738095915223126,-0.820971553709318,-1.27337846119795,-0.37834662840809,48.167,"C15","R (nlmixr2 SAEM)"
1,0.5,5.4380793089232,5.32888232430455,5.3014775951752,5.35990193997402,0.75,"C15","R (nlmixr2 SAEM)"
2,0.5,3.45315211335741,3.58781922996258,3.52885477094021,3.64390445595571,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.5,2.90140649905958,2.97621095579259,2.90660396910762,3.0517358785282,12.25,"C15","R (nlmixr2 SAEM)"
6,0.5,1.96711235670592,1.9346888475609,1.84663228416355,2.0279405940587,24.2,"C15","R (nlmixr2 SAEM)"
8,0.5,1.6467336971778,1.04095981241984,0.815683157815045,1.30611566632284,36.167,"C15","R (nlmixr2 SAEM)"
10,0.5,1.37371557891303,0.117381684997117,-0.240048121969847,0.549748299677796,48.167,"C15","R (nlmixr2 SAEM)"
1,0.95,6.5725601136436,6.70851034096832,6.67172948147921,6.74952484131525,0.75,"C15","R (nlmixr2 SAEM)"
2,0.95,4.31811749364085,4.4816621251032,4.39313927257496,4.58209894805604,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.95,3.86534893685517,3.91408704901347,3.80292385065767,4.03526629859527,12.25,"C15","R (nlmixr2 SAEM)"
6,0.95,3.14365467996559,3.03775759082829,2.88743809309154,3.19106928221351,24.2,"C15","R (nlmixr2 SAEM)"
8,0.95,2.29848641857327,2.14423524247922,1.76938223438689,2.51568541970649,36.167,"C15","R (nlmixr2 SAEM)"
10,0.95,1.57931734167129,1.21947201680127,0.664354727240782,1.74730317497666,48.167,"C15","R (nlmixr2 SAEM)"
