"bin","quantile","q_obs","pred_median","pred_lower","pred_upper","bin_center","output_name","model"
1,0.05,3.64596868200122,3.68708275530366,3.63375990136143,3.74785017378814,0.75,"C15","R (nlmixr2 SAEM)"
2,0.05,2.60932903845275,2.68059221318329,2.59401006071255,2.7683851816451,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.05,2.16053536601268,2.11350614804114,1.99331048378225,2.21749993991004,12.25,"C15","R (nlmixr2 SAEM)"
6,0.05,1.0623568955493,0.950638970516171,0.814498684563245,1.07758972106222,24.2,"C15","R (nlmixr2 SAEM)"
8,0.05,0.952723047899457,0.114363896270779,-0.211434215323536,0.371247644319018,36.167,"C15","R (nlmixr2 SAEM)"
10,0.05,0.738095915223126,-0.78899303209683,-1.23845846136722,-0.346105568923868,48.167,"C15","R (nlmixr2 SAEM)"
1,0.5,5.4380793089232,5.39726861868595,5.36830806239183,5.42660628977142,0.75,"C15","R (nlmixr2 SAEM)"
2,0.5,3.45315211335741,3.53456908138746,3.47739674191555,3.59293717999579,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.5,2.90140649905958,2.98307968269077,2.91771498089453,3.06041214454108,12.25,"C15","R (nlmixr2 SAEM)"
6,0.5,1.96711235670592,1.95168950432897,1.86659322834538,2.04335584021113,24.2,"C15","R (nlmixr2 SAEM)"
8,0.5,1.6467336971778,1.06408410031309,0.836742012563003,1.32404781098457,36.167,"C15","R (nlmixr2 SAEM)"
10,0.5,1.37371557891303,0.152674701469029,-0.202856832856337,0.5803598204344,48.167,"C15","R (nlmixr2 SAEM)"
1,0.95,6.5725601136436,6.72631750388948,6.69178961414327,6.76395156379389,0.75,"C15","R (nlmixr2 SAEM)"
2,0.95,4.31811749364085,4.41194388250958,4.32869785153241,4.51610707892525,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.95,3.86534893685517,3.9102452989863,3.79935919301342,4.03329880762479,12.25,"C15","R (nlmixr2 SAEM)"
6,0.95,3.14365467996559,3.05447235778565,2.90983701253386,3.21455108773133,24.2,"C15","R (nlmixr2 SAEM)"
8,0.95,2.29848641857327,2.17766929555843,1.79630048655149,2.55855600172185,36.167,"C15","R (nlmixr2 SAEM)"
10,0.95,1.57931734167129,1.2669327344607,0.70078942655501,1.80400317823135,48.167,"C15","R (nlmixr2 SAEM)"
