"bin","quantile","q_obs","pred_median","pred_lower","pred_upper","bin_center","output_name","model"
1,0.05,3.64596868200122,3.64286484589644,3.5707132229675,3.70585907735531,0.75,"C15","R (nlmixr2 SAEM)"
2,0.05,2.60932903845275,2.58429716858378,2.47718554235431,2.67873289779658,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.05,2.16053536601268,2.07049366549662,1.94831056696831,2.17796019274168,12.25,"C15","R (nlmixr2 SAEM)"
6,0.05,1.0623568955493,0.886587846063445,0.703702455633789,1.04664655823098,24.2,"C15","R (nlmixr2 SAEM)"
8,0.05,0.952723047899457,-0.135815558538499,-0.728227294173008,0.360168578946643,36.167,"C15","R (nlmixr2 SAEM)"
10,0.05,0.738095915223126,-1.15674701247039,-2.17772907277445,-0.378841324215137,48.167,"C15","R (nlmixr2 SAEM)"
1,0.5,5.4380793089232,5.3875109749511,5.35492240809189,5.42031535674315,0.75,"C15","R (nlmixr2 SAEM)"
2,0.5,3.45315211335741,3.47168203700745,3.41242670686398,3.53151106508234,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.5,2.90140649905958,2.95098453409288,2.88371605465938,3.01755962704759,12.25,"C15","R (nlmixr2 SAEM)"
6,0.5,1.96711235670592,1.99346014157571,1.90597956468514,2.0820641573508,24.2,"C15","R (nlmixr2 SAEM)"
8,0.5,1.6467336971778,1.17948383557269,0.892922145966019,1.47133303240407,36.167,"C15","R (nlmixr2 SAEM)"
10,0.5,1.37371557891303,0.315867135833485,-0.251248333396959,0.877719748893988,48.167,"C15","R (nlmixr2 SAEM)"
1,0.95,6.5725601136436,6.75017664969641,6.71186065749815,6.78593062329615,0.75,"C15","R (nlmixr2 SAEM)"
2,0.95,4.31811749364085,4.3707140176987,4.28366007445116,4.47992166440217,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.95,3.86534893685517,3.85816834596262,3.75508071114222,3.99585588220995,12.25,"C15","R (nlmixr2 SAEM)"
6,0.95,3.14365467996559,3.07977141388342,2.93231315308514,3.20517646170861,24.2,"C15","R (nlmixr2 SAEM)"
8,0.95,2.29848641857327,2.33048355759441,1.94925997469414,2.69604914891622,36.167,"C15","R (nlmixr2 SAEM)"
10,0.95,1.57931734167129,1.57900477794588,1.0018238003563,2.13419293164822,48.167,"C15","R (nlmixr2 SAEM)"
