bin,quantile,q_obs,pred_median,pred_lower,pred_upper,bin_center,output_name,model
0,0.05,3.6459686820012203,3.713890406859992,3.6683178213772316,3.753206035571525,2700.0,logC15,Sbml
0,0.5,5.438079308923196,5.351127840828652,5.322628653410047,5.379837132744546,2700.0,logC15,Sbml
0,0.95,6.572560113643599,6.891255220965104,6.848551307437974,6.943534699977653,2700.0,logC15,Sbml
1,0.05,2.609329038452749,2.586367337437427,2.507921511997339,2.6541224646460773,26429.399999999998,logC15,Sbml
1,0.5,3.453152113357411,3.434531055006744,3.3935618336263778,3.480716582951377,26429.399999999998,logC15,Sbml
1,0.95,4.31811749364085,4.338585140523294,4.272015149287977,4.41294632175305,26429.399999999998,logC15,Sbml
2,0.05,2.1605353660126787,2.0591271235971313,1.9545916834766892,2.152105352533281,44100.0,logC15,Sbml
2,0.5,2.901406499059578,2.90577707577208,2.8448018707194027,2.959359975162629,44100.0,logC15,Sbml
2,0.95,3.865348936855167,3.8602516210605065,3.7540993181348203,3.9636761065431796,44100.0,logC15,Sbml
5,0.05,1.0623568955492988,1.048948055306354,0.9221054694619801,1.1646338556292268,87120.0,logC15,Sbml
5,0.5,1.9671123567059163,2.0458640538054578,1.9825740074865565,2.113149824189792,87120.0,logC15,Sbml
5,0.95,3.1436546799655876,3.0869295521237095,2.9555598287349327,3.214693515426346,87120.0,logC15,Sbml
7,0.05,0.9527230478994568,0.8932675624538199,0.6367253150682045,1.0906625402222199,130201.2,logC15,Sbml
7,0.5,1.6467336971777973,1.6157125356571425,1.453078317694796,1.779449071368774,130201.2,logC15,Sbml
7,0.95,2.298486418573272,2.3823908475625664,2.17530835056413,2.5940669617406544,130201.2,logC15,Sbml
9,0.05,0.738095915223126,0.5510434364147149,0.26735125029283086,0.7741658112722848,173401.2,logC15,Sbml
9,0.5,1.3737155789130306,1.186140720730191,0.9500927253405511,1.3975121175791965,173401.2,logC15,Sbml
9,0.95,1.5793173416712945,1.836169997374701,1.5455748613847724,2.1231416303099384,173401.2,logC15,Sbml
