"bin","quantile","q_obs","pred_median","pred_lower","pred_upper","bin_center","output_name","model"
1,0.05,3.64596868200122,3.64358546864454,3.57213443643378,3.71054243973378,0.75,"C15","R (nlmixr2 SAEM)"
2,0.05,2.60932903845275,2.58350270689963,2.47780052958959,2.67739944298505,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.05,2.16053536601268,2.06991883105813,1.94771675123506,2.17702923362904,12.25,"C15","R (nlmixr2 SAEM)"
6,0.05,1.0623568955493,0.894615098408428,0.716472562393354,1.05339275007334,24.2,"C15","R (nlmixr2 SAEM)"
8,0.05,0.952723047899457,-0.117330367951502,-0.686516061106881,0.368628252979412,36.167,"C15","R (nlmixr2 SAEM)"
10,0.05,0.738095915223126,-1.12054441584889,-2.13771244122498,-0.356984853514198,48.167,"C15","R (nlmixr2 SAEM)"
1,0.5,5.4380793089232,5.38617311527503,5.35453157130722,5.41886249700501,0.75,"C15","R (nlmixr2 SAEM)"
2,0.5,3.45315211335741,3.47145911237804,3.41392592224296,3.52973281081875,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.5,2.90140649905958,2.95149462105801,2.882163850278,3.01559272510096,12.25,"C15","R (nlmixr2 SAEM)"
6,0.5,1.96711235670592,1.9931950295086,1.91193960848005,2.07882409085012,24.2,"C15","R (nlmixr2 SAEM)"
8,0.5,1.6467336971778,1.1832487535183,0.901084710451435,1.47945662294244,36.167,"C15","R (nlmixr2 SAEM)"
10,0.5,1.37371557891303,0.328073466971741,-0.238724650760049,0.886086328572124,48.167,"C15","R (nlmixr2 SAEM)"
1,0.95,6.5725601136436,6.75008387860281,6.71117971879332,6.78621483416529,0.75,"C15","R (nlmixr2 SAEM)"
2,0.95,4.31811749364085,4.36994658323244,4.28444270753221,4.47668530622667,7.3415,"C15","R (nlmixr2 SAEM)"
3,0.95,3.86534893685517,3.85791683424093,3.75213428489147,3.99438509201536,12.25,"C15","R (nlmixr2 SAEM)"
6,0.95,3.14365467996559,3.08225980485833,2.931644982977,3.20622902287293,24.2,"C15","R (nlmixr2 SAEM)"
8,0.95,2.29848641857327,2.32398966709327,1.95076762622646,2.69335543424098,36.167,"C15","R (nlmixr2 SAEM)"
10,0.95,1.57931734167129,1.57587949561245,1.00990356948944,2.12970901043136,48.167,"C15","R (nlmixr2 SAEM)"
