id,time,protocol_arm,output_name,value
e124f423-6f92-443d-a316-2ba53ed49a76,0.000,identity,L,9.781
e124f423-6f92-443d-a316-2ba53ed49a76,0.526,identity,L,6.968
e124f423-6f92-443d-a316-2ba53ed49a76,1.053,identity,L,6.714
e124f423-6f92-443d-a316-2ba53ed49a76,1.579,identity,L,6.430
e124f423-6f92-443d-a316-2ba53ed49a76,2.105,identity,L,6.271
e124f423-6f92-443d-a316-2ba53ed49a76,2.632,identity,L,5.879
e124f423-6f92-443d-a316-2ba53ed49a76,3.158,identity,L,5.757
e124f423-6f92-443d-a316-2ba53ed49a76,3.684,identity,L,5.754
e124f423-6f92-443d-a316-2ba53ed49a76,4.211,identity,L,5.243
e124f423-6f92-443d-a316-2ba53ed49a76,4.737,identity,L,4.929
e124f423-6f92-443d-a316-2ba53ed49a76,5.263,identity,L,4.887
e124f423-6f92-443d-a316-2ba53ed49a76,5.789,identity,L,4.477
e124f423-6f92-443d-a316-2ba53ed49a76,6.316,identity,L,4.244
e124f423-6f92-443d-a316-2ba53ed49a76,6.842,identity,L,4.331
e124f423-6f92-443d-a316-2ba53ed49a76,7.368,identity,L,3.973
e124f423-6f92-443d-a316-2ba53ed49a76,7.895,identity,L,3.895
e124f423-6f92-443d-a316-2ba53ed49a76,8.421,identity,L,3.648
e124f423-6f92-443d-a316-2ba53ed49a76,8.947,identity,L,3.599
e124f423-6f92-443d-a316-2ba53ed49a76,9.474,identity,L,3.357
e124f423-6f92-443d-a316-2ba53ed49a76,10.000,identity,L,3.223
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,0.000,identity,L,9.908
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,0.526,identity,L,7.226
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,1.053,identity,L,6.994
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,1.579,identity,L,6.848
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,2.105,identity,L,6.721
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,2.632,identity,L,6.614
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,3.158,identity,L,6.457
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,3.684,identity,L,6.408
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,4.211,identity,L,6.186
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,4.737,identity,L,6.022
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,5.263,identity,L,6.080
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,5.789,identity,L,5.606
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,6.316,identity,L,5.672
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,6.842,identity,L,5.511
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,7.368,identity,L,5.525
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,7.895,identity,L,5.515
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,8.421,identity,L,5.293
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,8.947,identity,L,5.324
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,9.474,identity,L,5.141
ad7eb7b0-5bec-4e8d-94a4-f7e012598b3f,10.000,identity,L,5.137
46f06228-789c-4af8-8175-31f046220c27,0.000,identity,L,9.880
46f06228-789c-4af8-8175-31f046220c27,0.526,identity,L,7.001
46f06228-789c-4af8-8175-31f046220c27,1.053,identity,L,6.931
46f06228-789c-4af8-8175-31f046220c27,1.579,identity,L,6.639
46f06228-789c-4af8-8175-31f046220c27,2.105,identity,L,6.462
