id,time,protocol_arm,output_name,value
b550508d-a689-45bc-9f16-9d36dceb9c11,0.000,identity,L,2.928
b550508d-a689-45bc-9f16-9d36dceb9c11,0.526,identity,L,1.271
b550508d-a689-45bc-9f16-9d36dceb9c11,1.053,identity,L,1.111
b550508d-a689-45bc-9f16-9d36dceb9c11,1.579,identity,L,1.013
b550508d-a689-45bc-9f16-9d36dceb9c11,2.105,identity,L,0.979
b550508d-a689-45bc-9f16-9d36dceb9c11,2.632,identity,L,0.949
b550508d-a689-45bc-9f16-9d36dceb9c11,3.158,identity,L,0.887
b550508d-a689-45bc-9f16-9d36dceb9c11,3.684,identity,L,0.875
b550508d-a689-45bc-9f16-9d36dceb9c11,4.211,identity,L,0.862
b550508d-a689-45bc-9f16-9d36dceb9c11,4.737,identity,L,0.808
b550508d-a689-45bc-9f16-9d36dceb9c11,5.263,identity,L,0.773
b550508d-a689-45bc-9f16-9d36dceb9c11,5.789,identity,L,0.722
b550508d-a689-45bc-9f16-9d36dceb9c11,6.316,identity,L,0.697
b550508d-a689-45bc-9f16-9d36dceb9c11,6.842,identity,L,0.679
b550508d-a689-45bc-9f16-9d36dceb9c11,7.368,identity,L,0.653
b550508d-a689-45bc-9f16-9d36dceb9c11,7.895,identity,L,0.630
b550508d-a689-45bc-9f16-9d36dceb9c11,8.421,identity,L,0.580
b550508d-a689-45bc-9f16-9d36dceb9c11,8.947,identity,L,0.570
b550508d-a689-45bc-9f16-9d36dceb9c11,9.474,identity,L,0.547
b550508d-a689-45bc-9f16-9d36dceb9c11,10.000,identity,L,0.528
917cb53b-73e4-4e7d-af26-2632bdfeea4b,0.000,identity,L,3.359
917cb53b-73e4-4e7d-af26-2632bdfeea4b,0.526,identity,L,1.640
917cb53b-73e4-4e7d-af26-2632bdfeea4b,1.053,identity,L,1.411
917cb53b-73e4-4e7d-af26-2632bdfeea4b,1.579,identity,L,1.364
917cb53b-73e4-4e7d-af26-2632bdfeea4b,2.105,identity,L,1.338
917cb53b-73e4-4e7d-af26-2632bdfeea4b,2.632,identity,L,1.292
917cb53b-73e4-4e7d-af26-2632bdfeea4b,3.158,identity,L,1.224
917cb53b-73e4-4e7d-af26-2632bdfeea4b,3.684,identity,L,1.179
917cb53b-73e4-4e7d-af26-2632bdfeea4b,4.211,identity,L,1.195
917cb53b-73e4-4e7d-af26-2632bdfeea4b,4.737,identity,L,1.152
917cb53b-73e4-4e7d-af26-2632bdfeea4b,5.263,identity,L,1.144
917cb53b-73e4-4e7d-af26-2632bdfeea4b,5.789,identity,L,1.091
917cb53b-73e4-4e7d-af26-2632bdfeea4b,6.316,identity,L,1.070
917cb53b-73e4-4e7d-af26-2632bdfeea4b,6.842,identity,L,1.057
917cb53b-73e4-4e7d-af26-2632bdfeea4b,7.368,identity,L,1.008
917cb53b-73e4-4e7d-af26-2632bdfeea4b,7.895,identity,L,1.002
917cb53b-73e4-4e7d-af26-2632bdfeea4b,8.421,identity,L,0.933
917cb53b-73e4-4e7d-af26-2632bdfeea4b,8.947,identity,L,0.948
917cb53b-73e4-4e7d-af26-2632bdfeea4b,9.474,identity,L,0.898
917cb53b-73e4-4e7d-af26-2632bdfeea4b,10.000,identity,L,0.888
21c864d5-684b-4749-8675-b9914126b42c,0.000,identity,L,2.029
21c864d5-684b-4749-8675-b9914126b42c,0.526,identity,L,1.019
21c864d5-684b-4749-8675-b9914126b42c,1.053,identity,L,0.865
21c864d5-684b-4749-8675-b9914126b42c,1.579,identity,L,0.782
21c864d5-684b-4749-8675-b9914126b42c,2.105,identity,L,0.779
21c864d5-684b-4749-8675-b9914126b42c,2.632,identity,L,0.692
21c864d5-684b-4749-8675-b9914126b42c,3.158,identity,L,0.677
21c864d5-684b-4749-8675-b9914126b42c,3.684,identity,L,0.650
21c864d5-684b-4749-8675-b9914126b42c,4.211,identity,L,0.628
21c864d5-684b-4749-8675-b9914126b42c,4.737,identity,L,0.569
21c864d5-684b-4749-8675-b9914126b42c,5.263,identity,L,0.550
21c864d5-684b-4749-8675-b9914126b42c,5.789,identity,L,0.524
21c864d5-684b-4749-8675-b9914126b42c,6.316,identity,L,0.500
21c864d5-684b-4749-8675-b9914126b42c,6.842,identity,L,0.479
21c864d5-684b-4749-8675-b9914126b42c,7.368,identity,L,0.456
21c864d5-684b-4749-8675-b9914126b42c,7.895,identity,L,0.441
21c864d5-684b-4749-8675-b9914126b42c,8.421,identity,L,0.433
21c864d5-684b-4749-8675-b9914126b42c,8.947,identity,L,0.395
21c864d5-684b-4749-8675-b9914126b42c,9.474,identity,L,0.382
21c864d5-684b-4749-8675-b9914126b42c,10.000,identity,L,0.360
30f19619-3e41-45af-b0e6-70d70aa2347c,0.000,identity,L,2.662
30f19619-3e41-45af-b0e6-70d70aa2347c,0.526,identity,L,1.445
30f19619-3e41-45af-b0e6-70d70aa2347c,1.053,identity,L,1.293
30f19619-3e41-45af-b0e6-70d70aa2347c,1.579,identity,L,1.266
30f19619-3e41-45af-b0e6-70d70aa2347c,2.105,identity,L,1.169
30f19619-3e41-45af-b0e6-70d70aa2347c,2.632,identity,L,1.185
30f19619-3e41-45af-b0e6-70d70aa2347c,3.158,identity,L,1.174
30f19619-3e41-45af-b0e6-70d70aa2347c,3.684,identity,L,1.115
30f19619-3e41-45af-b0e6-70d70aa2347c,4.211,identity,L,1.094
30f19619-3e41-45af-b0e6-70d70aa2347c,4.737,identity,L,1.061
30f19619-3e41-45af-b0e6-70d70aa2347c,5.263,identity,L,1.062
30f19619-3e41-45af-b0e6-70d70aa2347c,5.789,identity,L,1.015
30f19619-3e41-45af-b0e6-70d70aa2347c,6.316,identity,L,1.007
30f19619-3e41-45af-b0e6-70d70aa2347c,6.842,identity,L,0.935
30f19619-3e41-45af-b0e6-70d70aa2347c,7.368,identity,L,0.919
30f19619-3e41-45af-b0e6-70d70aa2347c,7.895,identity,L,0.888
30f19619-3e41-45af-b0e6-70d70aa2347c,8.421,identity,L,0.866
30f19619-3e41-45af-b0e6-70d70aa2347c,8.947,identity,L,0.847
30f19619-3e41-45af-b0e6-70d70aa2347c,9.474,identity,L,0.823
30f19619-3e41-45af-b0e6-70d70aa2347c,10.000,identity,L,0.807
3546b4dd-afb8-4847-9064-fc17f3e65e45,0.000,identity,L,4.826
3546b4dd-afb8-4847-9064-fc17f3e65e45,0.526,identity,L,2.513
3546b4dd-afb8-4847-9064-fc17f3e65e45,1.053,identity,L,2.397
3546b4dd-afb8-4847-9064-fc17f3e65e45,1.579,identity,L,2.326
3546b4dd-afb8-4847-9064-fc17f3e65e45,2.105,identity,L,2.377
3546b4dd-afb8-4847-9064-fc17f3e65e45,2.632,identity,L,2.221
3546b4dd-afb8-4847-9064-fc17f3e65e45,3.158,identity,L,2.119
3546b4dd-afb8-4847-9064-fc17f3e65e45,3.684,identity,L,2.110
3546b4dd-afb8-4847-9064-fc17f3e65e45,4.211,identity,L,2.063
3546b4dd-afb8-4847-9064-fc17f3e65e45,4.737,identity,L,2.031
3546b4dd-afb8-4847-9064-fc17f3e65e45,5.263,identity,L,1.953
