"time","nb_patients"
5.763855198,200
5.666665511,200
75.110191504,2000
7.559960593,200
35.790705425,1000
10.688421682,300
14.10165486,400
200.909012087,5000
4.346010168,100
17.643256912,500
16.957162335,500
14.17219,400
10.80797616,300
7.755052194,200
35.016671855,1000
74.737772584,2000
13.471365016,400
34.573930104,1000
7.696622959,200
4.609975545,100
195.334774202,5000
191.15705504,5000
32.543199252,1000
4.53081757,100
4.330288323,100
189.113397109,5000
12.823908445,400
13.337353644,400
72.819678298,2000
9.870628534,300
16.260379921,500
71.535580135,2000
10.953362792,300
83.619530411,2000
4.657830936,100
17.093925664,500
206.389321131,5000
39.062943435,1000
17.308199179,500
11.018475104,300
